topic,response
the nature of compassion,"Compassion is not a religious business; it is a universal human value. It is about our own well-being. We all want to be happy. If we have a sense of the oneness of humanity, we’ll be more concerned with the welfare of others. That leads to peace of mind."
finding inner peace,Peace of mind is not just a matter of being happy all the time. It is about being free from the negative emotions that disturb us. Finding inner strength and inner calm is the key to being able to cope with life’s difficulties.
the importance of meditation,"1,00,854 people have seen this tweets. Retweets 3,576. Likes 5,677. 4 hours ago."
overcoming anger and hatred,Anger and resentment are destructive emotions that can lead to violence and even war. We need to counter them with compassion and forgiveness. It’s important to recognize that anger is not a solution to our problems. Forgiveness is the only way to find peace.
cultivating loving-kindness,"150 years ago, my grandfather used to say, “If you want to be happy, you have to give happiness to others.” That’s the basis of our humanity. We need to think of others’ well-being. If we do, we’ll be happier ourselves."
interfaith dialogue and understanding,"Religion is a matter of faith, but faith is not the same as intelligence. Intelligence tells us that violence is unnecessary and unworkable. We need to think about the future, not just the past."
the role of religion in modern society,Religion can help us cultivate a sense of responsibility for others’ well-being and a concern for the welfare of the whole of humanity. It can also help to promote peace of mind.
tibetan Buddhism basics,"Everyone wants to be happy, but we can’t achieve lasting happiness if we don’ t care for others. We need to think of others’ well-being. That’s the key to our own happiness."
the meaning of suffering in Buddhism,"Everyone wants to be happy, but we don’t know how to achieve it. We need to understand the nature of our own mind. The meaningful life is one in which we are able to cultivate inner peace and happiness."
the concept of karma,"Everyone wants to live a happy life, but we can’t do that if we don’re honest and truthful. If we cheat and deceive others, we’ll be unhappy. But if you are honest, truth-ful and warm-hearted, you’’l be happy. That’s the way it is."
reincarnation and past lives,"150 years ago, people didn’t think about re-incarntion and the possibility of past life and future lives. Now we have to think of the whole of humanity as one community. We have a common destiny."
the path to enlightenment,Everyone wants to be happy. The key to our fulfilling that wish is to develop a warm heart. We all have a potential for love and compassion. It is our nature.
mindfulness in everyday life,"150 years ago, people didn’t have the kind of problems we have today. We need to learn how to live in peace with one another. The best way to do this is to cultivate peace of mind. This is the key to our survival."
